"anime", "data_lancamento"
"one_piece", "1997"
"naruto", "1999"
"attack_on_titan", "2009"
"death_note", "2006"
"dragon_ball", "1986"
"fullmetal_alchemist", "2003"
"my_hero_academia", "2016"
"tokyo_ghoul", "2014"
"demon_slayer", "2019"
"one_punch_man", "2015"
